idx,x,y,z
0,0.15112948,-0.80099785,1.9669802
1,0.27790582,-0.7868205,2.020926
2,0.14995521,-0.80191034,1.9668764
3,0.27822325,-0.7872121,2.0200503
4,0.14811899,-0.80066985,1.9657484
5,0.27967888,-0.78692794,2.0181408
6,0.28295234,-0.78544974,2.0151212
7,0.2852838,-0.7864722,2.011606
8,0.12030117,-0.7859223,1.9664888
9,0.1201321,-0.78980637,1.9687226
10,0.118297696,-0.78880227,1.9665899
11,0.11581749,-0.788919,1.961753
12,0.11366772,-0.7858107,1.9616375
13,0.113487,-0.7842247,1.9604559
14,0.11388896,-0.7839434,1.9571146
15,0.11527076,-0.78044826,1.9514396
16,0.11950064,-0.78794575,1.9504812
17,0.122264415,-0.78381056,1.9534228
18,0.12845139,-0.7806848,1.9532018
19,0.13345508,-0.7857686,1.9502809
20,0.13472086,-0.7835287,1.9504645
21,0.13437285,-0.7814416,1.9519132
22,0.13377123,-0.7852619,1.949939
23,0.13365276,-0.78578776,1.9487896
24,0.13460141,-0.78876245,1.948118
25,0.13458033,-0.7892862,1.9486622
26,0.1337989,-0.7899697,1.9494523
27,0.13345212,-0.7938342,1.9508221
28,0.13189204,-0.79408795,1.9554679
29,0.1299114,-0.7970704,1.9644971
30,0.1304177,-0.79541266,1.9596388
31,0.13003826,-0.7919431,1.9582474
32,0.13018018,-0.79088104,1.9590197
33,0.13071667,-0.79292,1.9591328
34,0.1311203,-0.7911029,1.9581913
35,0.13136612,-0.7896975,1.9582369
36,0.13116515,-0.7895217,1.9587727
37,0.13105437,-0.7887467,1.9584348
38,0.13142209,-0.7898794,1.9562366
39,0.13137706,-0.78980184,1.9562337
40,0.13278425,-0.7895595,1.9561476
41,0.13483775,-0.7917892,1.9537407
42,0.1376108,-0.7936567,1.9518672
43,0.15736416,-0.7920999,1.9577355
44,0.15982333,-0.7932185,1.9604826
45,0.15996881,-0.796586,1.9615526
46,0.15917403,-0.8002575,1.9652389
47,0.15940006,-0.7968908,1.9629391
48,0.15949106,-0.7938948,1.960151
49,0.16014022,-0.7937586,1.9588981
50,0.1610989,-0.79094285,1.9519644
51,0.51173747,-0.8312485,1.607531
52,0.37910023,-0.84110284,1.5983632
53,0.3765552,-0.84450567,1.6045032
54,0.37717146,-0.8450962,1.6073292
55,0.37471727,-0.8398314,1.6039703
56,0.15070996,-0.7826908,2.0981798
57,-0.28754634,-0.7573757,2.2266903
58,-0.29236987,-0.755923,2.2288451
59,-0.29471093,-0.7571689,2.2322807
60,-0.28988588,-0.7632298,2.2343438
61,-0.28721762,-0.76452535,2.2318766
62,-0.2876064,-0.7634173,2.2297976
63,-0.25515467,-0.68478835,2.5923288
64,-0.2892587,-0.7605638,2.2307153
65,-0.31906387,-0.6971987,2.6285446
66,-0.36999196,-0.6902673,2.7043931
67,-0.36086357,-0.6982517,2.6972697
68,-0.3623973,-0.69897175,2.701835
69,-0.45973083,-0.7228173,2.6148655
70,-0.3705488,-0.6924001,2.7130542
71,-0.46065933,-0.72700214,2.6109881
72,-0.37594178,-0.69243973,2.7179897
73,-0.46420273,-0.7289406,2.6111965
74,-0.3793443,-0.6899197,2.7249565
75,-0.45873457,-0.72931015,2.61409
76,-0.3739943,-0.6905652,2.7182198
77,-0.46368942,-0.72808665,2.6102252
78,-0.38089505,-0.6936517,2.7144961
79,-0.465347,-0.7294605,2.606171
80,-0.46071753,-0.7262227,2.6081874
81,-0.38026154,-0.6947342,2.715485
82,-0.45444316,-0.7282729,2.6137445
83,-0.381773,-0.69439644,2.7144184
84,-0.38126555,-0.69311494,2.719921
85,-0.38110012,-0.6964813,2.72112
86,-0.4578321,-0.74134415,2.60364
87,-0.4654938,-0.7325349,2.614639
88,-0.37635696,-0.7042767,2.7156336
89,-0.4573957,-0.73525566,2.6075044
90,-0.37507918,-0.7017376,2.7099552
91,-0.46036002,-0.7358019,2.607678
92,-0.37437746,-0.70362335,2.702224
93,-0.46057755,-0.7367195,2.6076646
94,-0.3789132,-0.69381833,2.7188673
95,-0.36979067,-0.70044774,2.708977
96,-0.46486026,-0.73521197,2.609672
97,-0.37049833,-0.70691526,2.701966
98,-0.3746863,-0.7028986,2.7033901
99,-0.45487833,-0.7332462,2.6137958
100,-0.36655173,-0.7060087,2.701764
101,-0.46563637,-0.7320045,2.6137998
102,-0.36384842,-0.7055136,2.6969843
103,-0.45933682,-0.7287906,2.6135716
104,-0.37158734,-0.7014213,2.7184842
105,-0.36846277,-0.70240176,2.716388
106,-0.8631175,-0.73648417,2.4159966
107,-0.86395186,-0.73235846,2.4152193
108,-0.86901546,-0.7305997,2.4169662
109,-1.0476805,-0.79695725,1.9913191
110,-1.0480478,-0.80289453,1.992959
111,-1.0492706,-0.7999586,1.9929388
112,-1.0489304,-0.7961957,1.9927727
113,-1.0468396,-0.79517794,1.9911854
114,-1.0452219,-0.79765,1.9898586
115,-1.046597,-0.8004839,1.9888937
116,-1.0471646,-0.7991405,1.9820101
117,0.2345441,-0.7099294,2.7933168
118,0.27259135,-0.6610737,2.9482465
119,0.63477606,-0.64266276,3.3951943
120,0.6404183,-0.62005705,3.3869534
121,0.5696204,-0.62771815,3.3635697
122,0.566233,-0.6271112,3.3734546
123,0.562447,-0.6260012,3.3757415
124,0.6602833,-0.60262275,3.422612
125,0.5665918,-0.61755407,3.3656223
126,0.6588875,-0.60903984,3.423984
127,0.56783575,-0.6165812,3.3738477
128,0.6521764,-0.590921,3.4400616
129,0.5734212,-0.63077796,3.3843913
130,0.6493365,-0.5931611,3.437119
131,0.5769529,-0.6319077,3.3824594
132,0.6527912,-0.59950036,3.4339507
133,0.65886045,-0.60053086,3.4374127
134,0.57293665,-0.61947787,3.3736944
135,0.6581995,-0.59753484,3.4348536
136,0.57364166,-0.616604,3.3759444
137,0.57363206,-0.6176566,3.3766303
138,0.5743773,-0.6195535,3.3772829
139,0.57455206,-0.6296752,3.3691268
140,0.57484734,-0.6149104,3.368258
141,0.57219076,-0.6185547,3.3735247
142,0.64335513,-0.6027117,3.4257817
143,0.5714363,-0.6212799,3.3756871
144,0.65147203,-0.5961389,3.424342
145,0.5711846,-0.62179625,3.3748994
146,0.6503837,-0.59872246,3.4213767
147,0.5697821,-0.6254632,3.3775194
148,0.6642034,-0.6070546,3.4160547
149,0.57053685,-0.62107736,3.3721988
150,0.56982404,-0.62202495,3.3702052
151,0.5672366,-0.6246353,3.3726983
152,0.56894803,-0.62546223,3.3754582
153,0.6553132,-0.587854,3.4380941
154,0.5746433,-0.62708,3.3782732
155,0.8806943,-0.6683147,2.923585
156,0.88222826,-0.66677,2.9198422
157,0.8834184,-0.66712976,2.9211068
158,0.8817767,-0.6732024,2.9252644
159,0.88199455,-0.6676721,2.9259727
160,0.8844143,-0.66475064,2.9264383
161,0.8828279,-0.6662309,2.927055
162,0.8811954,-0.66595805,2.9248884
163,0.8823465,-0.6660052,2.921057
164,1.220769,-0.69965637,2.6934254
165,1.2237376,-0.6962126,2.685722
166,1.242279,-0.7002129,2.6554954
167,1.2369453,-0.699844,2.6535769
168,1.2385249,-0.6968027,2.6477532
169,1.3427587,-0.7447227,2.2473211
170,1.3406534,-0.74552166,2.251193
171,1.339599,-0.7477503,2.253362
172,1.3397737,-0.74830914,2.25253
173,1.3552853,-0.73539686,2.2538798
174,1.3592038,-0.73584765,2.2516475
175,1.3607028,-0.7371756,2.2530768
176,1.3651769,-0.74042594,2.256729
177,1.4674997,-0.72041136,2.3165793
178,1.36959,-0.7410834,2.2626188
179,1.4718759,-0.71890974,2.317478
